Product_id,Sale,weight,resoloution,ppi,cpu core,cpu freq,internal mem,ram,RearCam,Front_Cam,battery,thickness,Price
183,204,160,5,220,2,1.2,0,1,8,0,2500,10.8,1522
1080,206,158,5.1,432,4,2.5,16,2,16,2,2800,8.9,2343
133,208,142,5,440,8,1.25,16,2,16,8,2700,8,2744
827,213,78.4,2.4,166,0,0,0,0.008,0,0,1100,12.9,833
133,214,142,5,440,8,1.25,16,2,16,8,2700,8,2744
832,256,150,5,294,4,1.2,16,1,10,0.9,2200,8.5,1676
832,268,150,5,294,4,1.2,16,1,10,0.9,2200,8.5,1676
637,285,174,5.7,513,4,1.875,32,4,16,5,3200,7.6,2858
64,299,77.9,2.4,167,0,0,0.004,0.004,0,0,850,12.4,754
30,302,149,5.5,534,8,1.6,32,3,16,8,3000,7,2975
30,307,149,5.5,534,8,1.6,32,3,16,8,3000,7,2975
64,308,77.9,2.4,167,0,0,0.004,0.004,0,0,850,12.4,754
409,309,145,5.1,432,8,2.1,32,4,20,8,3200,7,2880
637,309,174,5.7,513,4,1.875,32,4,16,5,3200,7.6,2858
143,344,170,5.5,401,8,2,32,4,12,13,5000,8,3287
143,367,170,5.5,401,8,2,32,4,12,13,5000,8,3287
798,373,169,5.5,403,8,1.35,16,2,21,5,3630,10.9,2054
460,378,118,4,245,4,1.2,4,0.512,5,2,1730,10.9,1734
460,382,118,4,245,4,1.2,4,0.512,5,2,1730,10.9,1734
798,385,169,5.5,403,8,1.35,16,2,21,5,3630,10.9,2054
1327,393,194.8,5.7,258,4,1.2,16,2,8,1,3400,10.2,2001
1327,399,194.8,5.7,258,4,1.2,16,2,8,1,3400,10.2,2001
409,418,145,5.1,432,8,2.1,32,4,20,8,3200,7,2880
1198,423,110,2.2,128,0,0,0.128,0.032,2,0,900,15.6,705
1198,427,110,2.2,128,0,0,0.128,0.032,2,0,900,15.6,705
1112,455,753,12.2,247,8,1.6,32,3,8,2,9500,8,2491
1112,456,753,12.2,247,8,1.6,32,3,8,2,9500,8,2491
696,499,154,5.5,534,4,2.7,32,3,13,2.1,3000,9.1,2466
1089,523,165,4.66,200,4,1.2,0,0,5,0,2600,11.6,1357
1089,564,165,4.66,200,4,1.2,0,0,5,0,2600,11.6,1357
696,567,154,5.5,534,4,2.7,32,3,13,2.1,3000,9.1,2466
497,599,112,5,294,8,1.4,8,1,8,8,1900,6.3,2266
497,615,112,5,294,8,1.4,8,1,8,8,1900,6.3,2266
301,616,183,5,294,4,1.3,32,3,8,5,4000,8.5,2445
301,678,183,5,294,4,1.3,32,3,8,5,4000,8.5,2445
857,996,153,5.5,401,8,1.5,64,4,13,16,3200,7.3,3116
377,1009,160,5,441,4,2.3,32,2,4,5,2600,9.4,2409
377,1043,160,5,441,4,2.3,32,2,4,5,2600,9.4,2409
701,1224,102.9,2.2,128,0,0,0.256,0.128,1.3,0,950,18.5,628
701,1274,102.9,2.2,128,0,0,0.256,0.128,1.3,0,950,18.5,628
1161,1530,152,5.2,424,4,2.5,16,3,20.7,2.2,3100,7.3,2508
1161,1584,152,5.2,424,4,2.5,16,3,20.7,2.2,3100,7.3,2508
32,1781,179,6,184,4,1.3,8,1,13,8,2580,8,1921
32,1862,179,6,184,4,1.3,8,1,13,8,2580,8,1921
1137,2071,180,5.5,806,8,1.75,32,3,23,5.1,3430,7.8,3102
1137,2088,180,5.5,806,8,1.75,32,3,23,5.1,3430,7.8,3102
851,2106,158,5.5,401,4,1.875,64,6,16,8,3000,7.4,3055
826,2159,69.8,1.4,129,0,0,0,0.004,0,0,800,14.1,614
826,2171,69.8,1.4,129,0,0,0,0.004,0,0,800,14.1,614
851,2173,158,5.5,401,4,1.875,64,6,16,8,3000,7.4,3055
290,3248,238,5.7,515,8,1.95,128,6,12,8,7000,7.4,4361
290,3291,238,5.7,515,8,1.95,128,6,12,8,7000,7.4,4361
1131,3619,202,6,367,8,1.5,16,3,21.5,16,2700,8.4,2536
1206,4408,178,5.46,538,4,1.875,128,6,12,16,4080,8.4,3551
1206,4638,178,5.46,538,4,1.875,128,6,12,16,4080,8.4,3551
1296,8016,170,5.5,534,4,1.975,128,6,20,8,3400,7.9,3211
856,8809,150,5.5,401,8,2.2,64,4,20,20,3000,6.8,3260
1296,8946,170,5.5,534,4,1.975,128,6,20,8,3400,7.9,3211
1131,9807,202,6,367,8,1.5,16,3,21.5,16,2700,8.4,2536
